CMS Energy Services Jackson, MI	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	369.0	nan	nan
CNA Insurance Chicago, IL	l	l	l	l	l	l	l	l	l	l	100.0	100.0	nan	nan	nan
Coca-Cola Co., The Atlanta, GA	l	l	l	l	l	4 l	l	l	l	l	100.0	100.0	73.0	nan	nan
Coca-Cola Enterprises Inc. Atlanta, GA	l	l	l	l	l	l	l	l	l	l	100.0	100.0	116.0	nan	nan
Colgate-Palmolive Co. New York, NY	l	l	l	l	l	l	l	l	l	l	100.0	95.0	166.0	nan	nan
Comcast Corp. Philadelphia, PA	l	l	l	l	nan	l	l	l	l	l	95.0	95.0	68.0	nan	nan
Comerica Inc. Dallas, TX	l	l	l	l	l	l	nan	l	l	l	95.0	80.0	559.0	nan	nan
Commercial Metals Irving, TX	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	251.0	nan	nan
Community Health Systems Inc. Franklin, TN	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	243.0	nan	nan
Compass Group USA Inc. Charlotte, NC	l	l	nan	l	nan	l	l	l	nan	nan	50.0	50.0	nan	nan	nan
Computer Sciences Corp. (CSC) Falls Church, VA	l	l	l	l	l	l	l	l	l	nan	85.0	85.0	153.0	nan	nan
Compuware Corp. Detroit, MI	l	l	l	l	l	l	l	l	w	l	93.0	93.0	nan	nan	nan
ConAgra Foods Inc. Omaha, NE	l	l	l	nan	l	l	l	l	l	l	95.0	90.0	188.0	nan	nan
ConocoPhillips Houston, TX	l	l	nan	l	l	l	l	l	l	nan	70.0	70.0	4.0	nan	nan
Consolidated Edison Co. New York, NY	l	l	l	l	l	l	l	l	l	l	100.0	95.0	191.0	nan
Constellation Energy Group Inc. Baltimore, MD	l	l	l	l	l	l	l	l	l	l	100.0	100.0	125.0	nan
Continental Airlines Inc. Houston, TX	l	l	l	l	l	l	l	l	l	l	100.0	100.0	167.0	nan
Convergys Corp. Cincinnati, OH	l	l	nan	l	l	l	nan	l	l	l	80.0	80.0	721.0	nan
Con-way Inc. San Mateo, CA	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	470.0	nan
Cooper Tire & Rubber Co. Findlay, OH	nan	l	l	l	nan	nan	nan	nan	w	nan	33.0	33.0	707.0	nan
Corbis Corp. Seattle, WA	l	l	l	nan	l	l	l	l	nan	l	80.0	80.0	nan	nan
15 pointsCoreLogic Westlake, TX	l	l	l	l	l	l	l	l	l	l	100.0	nan	398.0	nan
Corning Inc. Corning, NY	5 pointsl	l	l	l	l	l	l	l	l	l	100.0	100.0	414.0	nan
Costco Wholesale Corp. Issaquah, WA	l	l	l	l	l	l	l	l	l	l	100.0	100.0	24.0	5 points
Coventry Health Care Bethesda, MD	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	226.0	nan
Covington & Burling LLP Washington, DC	l	l	l	l	l	4 l	l	l	l	l	100.0	100.0	nan	54 15 points
Cox Enterprises Inc. Atlanta, GA	l	l	l	l	l	l	l	l	l	l	100.0	100.0	nan	5 points
Cracker Barrel Old Country Store Inc. Lebanon, TN	l	l	nan	nan	l	nan	nan	nan	l	l	55.0	15.0	807.0	5 points
Cravath, Swaine & Moore LLP New York, NY	l	l	l	l	l	l	l	l	l	l	100.0	100.0	nan	52 15 ptsw 7.5 pts
Credit Suisse USA Inc. New York, NY	l	l	l	l	l	l	l	l	l	l	100.0	100.0	nan	nan
Crosstex Energy, Inc. Dallas, TX	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	479.0	nan
Crowell & Moring LLP Washington, DC	l	l	l	l	l	4 l	l	l	l	l	100.0	95.0	nan	91
Crown Holdings Philadelphia, PA	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	312.0	nan
CSX Corp. Jacksonville, FL	l	l	l	l	nan	l	l	l	l	l	95.0	75.0	240.0	nan
Cummins Inc. Columbus, IN	l	l	l	l	l	4 l	l	l	l	l	100.0	100.0	181.0	nan
CUNA Mutual Insurance Group Madison, WI	l	nan	nan	nan	nan	l	nan	l	l	l	65.0	65.0	792.0	nan
CVR Energy Inc. Sugar Land, TX	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	472.0	nan
CVS Caremark Corp. Woonsocket, RI	l	l	l	nan	nan	l	l	l	l	l	90.0	90.0	19.0	nan
Dana Holding Corp. Toledo, OH	l	l	nan	nan	nan	nan	nan	nan	nan	nan	20.0	20.0	316.0	nan
Danaher Corp. Washington, DC	l	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.0	nan	213.0	nan
Darden Restaurants Inc. Orlando, FL	l	l	nan	nan	l	l	l	l	l	l	80.0	80.0	374.0	nan
Davis Wright Tremaine LLP Seattle, WA	l	l	l	l	l	l	nan	l	l	l	95.0	95.0	nan	109
Davis, Polk & Wardwell LLP New York, NY	l	l	l	l	l	l	l	l	l	l	100.0	100.0	nan	30
