COMPANY	CITY	STATE	FORBES	2005_CEI	2004_CEI
MeadWestvaco Corp.	Stamford	CT	267	57	29
Meijer Inc. Rapids	Grand	MI	nan	14	14
Mellon Financial Corp.	Pittsburgh	PA	391	100	86
The Men's Wearhouse Inc.	Houston	TX	nan	71	71
Merck & Co. Inc. Station	Whitehouse	NJ	84	86	86
Merrill Lynch & Co.	New York	NY	53	100	86
MetLife (Metropolitan Life Insurance)	New York	NY	37	100	100
MGM Mirage	Las Vegas	NV	449	86	nan
Microsoft Corp.	Redmond	WA	41	100	86
Miller Brewing Co.	Milwaukee	WI	nan	100	100
Mitchell Gold and Bob Williams	Taylorsville	NC	nan	100	100
Mohawk Industries Inc.	Calhoun	GA	340	71	nan
Molson Coors Brewing Company1	Golden	CO	447	100	100
Morgan Stanley	New York	NY	36	86	86
Morningstar Inc.	Chicago	IL	nan	43	43
Morrison & Foerster cisco	San Fran-	CA	nan	100	100
Motorola Inc.	Schaumburg	IL	49	100	100
Mutual of Omaha Insurance	Omaha	NE	463	86	nan
National City Corporation	Cleveland	OH	211	64	57
National Gypsum	Charlotte	NC	nan	14	14
Nationwide	Columbus	OH	99	100	100
Navistar International Corp.	Warrenville	IL	233	43	43
NCR Corp.	Dayton	OH	337	100
Nestle Purina PetCare Co.	St. Louis	MO	nan	29	29
New York Life Insurance Co.	New York	NY	68	64	50
New York Times Co.	New York	NY	nan	100	100
Newell Rubbermaid Inc.	Alpharetta	GA	304	29	29
Nextel Communications	Reston	VA	157	71	71
Nike Inc.	Beaverton	OR	173	100	100
Nissan North America	Gardena	CA	nan	29	29
Nordstrom Inc.	Seattle	WA	294	100	86
Northeast Utilities System	Berlin	CT	310	86	86
Northern Trust Corp.	Chicago	IL	nan	100	86
Northrop Grumman Corp.	Los Angeles	CA	58	86	79
Northwest Airlines Corp.	Eagan	MN	190	86	71
Novartis Pharmaceutical Corp.	East Hanover	NJ	nan	86	nan
Office Depot Inc.	Delray	FL	156	71	43
The Olivia Companies LLC	Oakland	CA	nan	100	nan
Omnicom Group	New York	NY	230	43	43
Oracle Corp.	Redwood	CA	220	86	86
Owens Corning	Toledo	OH	349	100	100
PacifiCare Health Systems	Cypress	CA	172	64	43
PacifiCorp	Portland	OR	nan	86	86
Pathmark Stores Inc.	Carteret	NJ	467	50	50
Pennzoil-Quaker State Co.	Houston	TX	nan	43	43
PepsiCo Inc.	Purchase	NY	61	100	100
Perkins & Will	Chicago	IL	nan	71	71
Perot Systems Corp.	Plano	TX	nan	14	14
Pfizer Inc.	New York	NY	24	100	100
PG&E Corp.	San	CA	196	100	100
Pitney Bowes Inc.	Stamford	CT	392	79	71
PNC Financial Services Group Inc.	Pittsburgh	PA	323	79	79
Polaroid Corp.	Waltham	MA	nan	86	86
PPG Industries	Pittsburgh	PA	236	71	71
PPL Corp.	Allentown	PA	344	71	71
PricewaterhouseCoopers International Limited	New York	NY	nan	86	86
Principal Financial Group	Des Moines	IA	253	86	71
The Procter & Gamble Co.	Cincinnati	OH	26	86	86
The Progressive Corp. Village	Mayfield	OH	155	57	57
Providian Financial Corp. Francisco	San	CA	nan	86	71
Prudential Financial Inc.	Newark	NJ	64	100	100
QUALCOMM Inc.	San Diego	CA	398	71	71
Quest Diagnostics	Teterboro	NJ	382	86	86
Qwest Communications International Inc.2	Denver	CO	154	86	86
R.R. Donnelley & Sons	Chicago	IL	275	43	29
RadioShack Corp.	Fort Worth	TX	399	29	29
Raytheon Co.	Waltham	MA	103	100	86
Reebok International	Canton	MA	483	79	79
Reliant Energy Inc.	Houston	TX	250	57	nan
Replacements Ltd.	McLeansville	NC	nan	100	100
Reuters America Holdings Inc.	New York	NY	nan	57	57
Reynolds American Inc. Salem	Winston-	NC	321	86	86
Rite Aid Corp.	Camp Hill	PA	128	29	29
Rockwell Collins Rapids	Cedar	IA	nan	43	43
Rohm & Haas	Philadelphia	PA	287	29	29
Ryder System Inc.	Miami	FL	381	79	79
SAFECO Corp.	Seattle	WA	285	86	86
Safeway Inc.	Pleasanton	CA	46	71	71
SAP America Square	Newton	PA	nan	57	57
Sara Lee Corp.	Chicago	IL	114	86	71
SBC Communications Inc.	San Antonio	TX	33	100	86
SC Johnson & Son Inc.	Racine	WI	nan	100	100
Schering-Plough Corp.	Kenilworth	NJ	264	86	86
Scholastic Corp.	New York	NY	nan	86	86
Seagate Technology Inc.	Scotts Valley	CA	nan	86	86
Sears, Roebuck and Co.	Hoffman	IL	45	100	86
Sempra Energy	San Diego	CA	235	86	86
Shaw Industries Inc.	Dalton	GA	nan	14	14
Shell Oil Co.	Houston	TX	nan	86
Siemens Energy & Automation Inc.	New York	NY	nan	71	71
Silicon Graphics Inc.	Mountain	CA	nan	86	86
SLM Corp. (Sallie Mae)	Reston	VA	378	86	86
Sodexho Inc.	Gaithersburg	MD	nan	86	nan
Software House International	Somerset	NJ	nan	57	57
Southern California Edison	Rosemead	CA	nan	100	100
Southwest Airlines Co.	Dallas	TX	318	64	43
Sprint Corp.	Overland	KS	67	100	71
SRA International Inc.	Fairfax	VA	nan	71	29
St. Paul Travelers Companies Inc.	St. Paul	MN	85	86	86
Staples Inc.	Framingham	MA	146	93	86
Starbucks Corp.	Seattle	WA	372	86	86
Starcom MediaVest Group	Chicago	IL	nan	79	nan
Starwood Hotels & Resorts Worldwide	White Plains	NY	440	86	86
State Farm Group	Bloomington	IL	19	71	71
Subaru of America Inc.	Cherry Hill	NJ	nan	86	86
Sun Microsystems	Santa Clara	CA	194	100	86
SunTrust Banks Inc.	Atlanta	GA	273	100	86
Supervalu	Eden Prairie	MN	104	71	71
TAP Pharmaceutical Products Inc.	Lake Forest	IL	nan	57	57
Target Corp.	Minneapolis	MN	27	86	86
Tech Data Corp.	Clearwater	FL	110	100	57
Texas Instruments Inc.	Dallas	TX	166	86	86
TIAA-CREF	New York	NY	81	57	57
Time Warner Inc.	New York	NY	32	86	86
Toyota Motor America Inc.	New York	NY	nan	86	86
Toyota Motor Sales, U.S.A. Inc.	Torrance	CA	nan	100	nan
Toys “R” Us Inc.	Wayne	NJ	192	57	43
UBS	New York	NY	nan	100	100
Union Pacific Corporation	Omaha	NE	174	79	nan
Unisys Corp.	Blue Bell	PA	343	100	86
United Airlines (UAL Corp.)	Elk Grove Township	IL	129	86	86
United Parcel Service	Atlanta	GA	42	86	86
United Technologies Corp.	Hartford	CT	39	50	nan
University Hospitals of Cleveland	Cleveland	OH	nan	71	71
UnumProvident Corp.3	Chattanooga	TN	208	79	79
US Airways Group	Arlington	VA	295	100	86
US Bancorp	Minneapolis	MN	143	71	71
Verio Inc.	Englewood	CO	nan	71	71
Verizon Communications	New York	NY	14	86	86
Vertis	Baltimore	MD	nan	43	43
Viacom Inc.	New York	NY	69	100	86
Vinson & Elkins, L.L.P	Houston	TX	nan	64	nan
Visa International	Foster City	CA	nan	71	71
Vision Service Plan Cordova	Rancho	CA	nan	86	86
Visteon Corp.	Dearborn	MI	118	86	86
Vivendi Universal	New York	NY	nan	71	71
Volkswagen of America Inc.	Auburn Hills	MI	nan	86	86
Wachovia Corp.	Charlotte	NC	65	86	86
Wainwright Bank & Trust Co.	Boston	MA	nan	86	86
Walgreens Co.	Deerfield	IL	38	100	86
Wal-Mart Stores Inc.	Bentonville	AR	1	57	43
Walt Disney Co.	Burbank	CA	54	86	86
Washington Mutual Inc.	Seattle	WA	131	100	86
Waste Management Inc.	Houston	TX	168	86	43
WellPoint Inc.	Indianapolis	IN	97	86	86
Wells Fargo & Co. cisco	San Fran-	CA	52	100	100
Whirlpool Corp. Harbor	Benton	MI	160	100	100
Whole Foods Market Inc.	Austin	TX	479	57	57
Williams Companies Inc.	Tulsa	OK	165	71	71
Wisconsin Energy Corporation	Milwaukee	WI	471	57	nan
Working Assets Funding Service	San Francisco	CA	nan	71	71
Worldspan Technologies Inc.	Atlanta	GA	nan	100	100
WPP Group USA	New York	NY	nan	79	57
Wyeth	Madison	NJ	125	64	43
Wyndham International Inc.	Dallas	TX	nan	100	86
Xcel Energy	Minneapolis	MN	256	86	86
Xerox Corp.	Stamford	CT	132	100	100
