Toyota Motor Sales uSA Inc.	nan	Torrance, CA	l	l	l	l	l	l	l	l	nan	100	nan	nan
Troutman Sanders LLP	nan	Atlanta, GA	l	l	l	l	l	l	l	l	nan	100	nan	72.0
u.S. Bancorp	nan	Minneapolis, MN	l	l	l	l	l	l	l	l	nan	100	121.0	nan
uBS AG	nan	Stamford, CT	l	l	l	l	l	l	l	l	nan	100	nan	nan
unilever	nan	Englewood Cliffs, NJ	l	l	l	l	l	l	l	l	nan	100	nan	nan
united Continental Holdings Inc.	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	140.0	nan
united Parcel Service Inc. (uPS)	nan	Atlanta, GA	l	l	l	l	l	l	l	l	nan	100	43.0	nan
united Technologies Corp.	nan	Hartford, CT	l	l	l	l	l	l	l	l	nan	100	37.0	nan
unitedHealth Group Inc.	nan	Minnetonka, MN	l	l	l	l	l	l	l	l	nan	100	21.0	nan
Wachtell, Lipton, Rosen & Katz LL	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	43.0
Walt Disney Co., The	nan	Burbank, CA	l	l	l	l	l	l	l	l	nan	100	57.0	nan
Wells Fargo & Co.	nan	San Francisco, CA	l	l	l	l	l	l	l	l	nan	100	19.0	nan
Whirlpool Corp.	nan	Benton Harbor, MI	l	l	l	l	l	l	l	l	nan	100	136.0	nan
White & Case LLP	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	7.0
Wilmer Cutler Pickering Hale & D	rr LLP	Washington, DC	l	l	l	l	l	l	l	l	nan	100	nan	18.0
Winston & Strawn LLP	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	nan	33.0
Xerox Corp.	nan	Norwalk, CT	l	l	l	l	l	l	l	l	nan	100	152.0	nan
Yahoo! Inc.	nan	Sunnyvale, CA	l	l	l	l	l	l	l	l	nan	100	343.0	nan
3M Co.	nan	St. Paul, MN	l	l	l	l	l	l	l	l	nan	100	106.0	nan
A.T. Kearney Inc.	nan	Chicago, IL	l	l	l	l	l	l	l	l	nan	100	nan	nan
AAA Northern California, Nevada	Utah Insurance Exchange	Walnut Creek, CA	l	l	l	l	l	l	l	l	nan	100	nan	nan
Abbott Laboratories	nan	Abbott Park, IL	l	nan	l	w	nan	nan	l	l	nan	60	75.0	nan
Abercrombie & Fitch Co.	nan	New Albany, OH	l	l	l	l	l	l	l	l	nan	100	651.0	nan
AbitibiBowater Inc.	nan	Greenville, SC	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	472.0	nan
Accenture Ltd.	nan	New York, NY	l	l	l	l	l	l	l	l	nan	100	nan	nan
Acer Inc.	nan	Irvine, CA	l	nan	l	w	nan	nan	nan	nan	nan	35	nan	nan
Adecco North America LLC	nan	Melville, NY	l	l	l	l	nan	l	l	l	nan	90	nan	nan
Adobe Systems Inc.	nan	San Jose, CA	l	l	l	l	nan	l	l	l	nan	90	657.0	nan
Advance Auto Parts (Advance Hol	ing)	Roanoke, VA	l	l	nan	nan	nan	nan	nan	nan	nan	30	389.0	nan
Advanced Micro Devices Inc.	nan	Sunnyvale, CA	l	l	l	w	nan	l	w	w	nan	70	390.0	nan
AECOM Technology Corp.	nan	Los Angeles, CA	l	l	l	w	nan	l	l	l	nan	85	352.0	nan
AEGON USA Inc.	nan	Cedar Rapids, IA	nan	nan	l	w	nan	nan	nan	nan	nan	20	nan	nan
AES Corp., The	nan	Arlington, VA	l	nan	nan	nan	nan	nan	nan	nan	nan	15	156.0	nan
Aetna Inc.	nan	Hartford, CT	l	l	l	l	l	l	l	l	nan	100	63.0	nan
Affiliated Computer Services	nan	Dallas, TX	l	nan	l	w	nan	nan	nan	w	nan	40	341.0	nan
AFLAC Inc.	nan	Columbus, GA	l	l	nan	nan	nan	nan	nan	nan	nan	30	130.0	nan
Agco	nan	Duluth, GA	l	nan	nan	nan	nan	nan	nan	nan	nan	15	337.0	nan
Agilent Technologies Inc.	nan	Santa Clara, CA	l	l	l	w	nan	nan	l	l	nan	75	461.0	nan
Ahold USA Inc.	nan	Quincy, MA	l	l	l	w	nan	nan	w	nan	nan	55	nan	nan
AIG	nan	New York, NY	l	l	l	w	nan	l	l	l	nan	85	16.0	nan
Air Products & Chemicals Inc.	nan	Allentown, PA	l	l	l	l	nan	nan	l	l	nan	80	273.0	nan
Airgas Inc.	nan	Radnor, PA	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	474.0	nan
